case_id,evidence_code,evidence_name,required,available,source,quality,critical,why,missing_impact,contradiction,privacy
SYN-002,auth.cvv_result,CVV结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对卡背码验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-002,auth.device_ip_match,设备/IP匹配,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对本次与历史行为一致性,,,仅记录类型与是否存在，不存原值
SYN-002,history.prior_transactions,历史交易,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
SYN-003,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-003,auth.threeds,3DS认证,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,核对强认证与责任转移,,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-003,auth.avs_result,AVS结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对账单地址验证结果,,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-003,auth.cvv_result,CVV结果,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对卡背码验证结果,,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-003,auth.device_ip_match,设备/IP匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对本次与历史行为一致性,可能降低可抗辩性或触发人工复核,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-003,history.prior_transactions,历史交易,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,显示既往正常交易关系,可能降低可抗辩性或触发人工复核,与其他风险信号冲突,仅记录类型与是否存在，不存原值
SYN-004,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-004,auth.threeds,3DS认证,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,核对强认证与责任转移,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-004,auth.avs_result,AVS结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对账单地址验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-004,auth.cvv_result,CVV结果,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对卡背码验证结果,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-004,auth.device_ip_match,设备/IP匹配,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对本次与历史行为一致性,,,仅记录类型与是否存在，不存原值
SYN-004,history.prior_transactions,历史交易,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
SYN-005,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-005,fulfillment.tracking,物流轨迹,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明发货与运输节点,,,仅记录类型与是否存在，不存原值
SYN-005,fulfillment.proof_of_delivery,签收证明,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
SYN-005,fulfillment.address_match,地址匹配,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,核对订单与履约地址,,,仅记录类型与是否存在，不存原值
SYN-005,comms.customer,客户沟通,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,还原投诉、补救与时间线,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-006,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-006,fulfillment.tracking,物流轨迹,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明发货与运输节点,,,仅记录类型与是否存在，不存原值
SYN-006,fulfillment.proof_of_delivery,签收证明,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
SYN-006,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-006,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-007,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-007,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-007,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-007,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-007,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-008,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-008,fulfillment.tracking,物流轨迹,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明发货与运输节点,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-008,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-008,fulfillment.address_match,地址匹配,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,核对订单与履约地址,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-008,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-009,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-009,product.description,商品描述,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
SYN-009,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-009,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-009,fulfillment.proof_of_delivery,签收证明,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
SYN-010,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-010,product.description,商品描述,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
SYN-010,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-010,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-010,fulfillment.proof_of_delivery,签收证明,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
SYN-011,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-011,product.description,商品描述,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
SYN-011,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-011,policy.terms_refund,条款与退款政策,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,证明交易时披露并同意的规则,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-011,fulfillment.proof_of_delivery,签收证明,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明送达时间、地点或签收人,,,仅记录类型与是否存在，不存原值
SYN-012,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-012,product.description,商品描述,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,固定交易时展示的规格与承诺,,,仅记录类型与是否存在，不存原值
SYN-012,comms.customer,客户沟通,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,还原投诉、补救与时间线,,,仅记录类型与是否存在，不存原值
SYN-012,policy.terms_refund,条款与退款政策,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,证明交易时披露并同意的规则,,,仅记录类型与是否存在，不存原值
SYN-012,fulfillment.proof_of_delivery,签收证明,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,YES,证明送达时间、地点或签收人,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-013,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-013,billing.duplicate_check,重复核查,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,比对授权、捕获与订单是否重复,,,仅记录类型与是否存在，不存原值
SYN-013,history.prior_transactions,历史交易,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
SYN-014,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-014,billing.duplicate_check,重复核查,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,比对授权、捕获与订单是否重复,,,仅记录类型与是否存在，不存原值
SYN-014,history.prior_transactions,历史交易,YES,NO_OR_NOT_DISCLOSED,NOT_DISCLOSED,UNKNOWN,CONTEXTUAL,显示既往正常交易关系,可能降低可抗辩性或触发人工复核,,仅记录类型与是否存在，不存原值
SYN-015,transaction.receipt,交易收据,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,证明交易金额、时间和商户主体,,,仅记录类型与是否存在，不存原值
SYN-015,billing.duplicate_check,重复核查,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,YES,比对授权、捕获与订单是否重复,,,仅记录类型与是否存在，不存原值
SYN-015,history.prior_transactions,历史交易,YES,YES,SYNTHETIC_MERCHANT_SYSTEM,SIMULATED,CONTEXTUAL,显示既往正常交易关系,,,仅记录类型与是否存在，不存原值
