case_id,step_no,phase,owner,action,output,deadline_rule,escalation
PUB-008,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-008,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-008,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-009,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-009,2,CLASSIFY,FINANCE,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-009,3,COLLECT,FINANCE,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-009,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-009,5,DECIDE,FINANCE,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-009,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-009,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-010,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-010,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-010,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-010,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-010,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-010,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-010,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-011,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-011,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-011,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-011,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-011,5,DECIDE,BUSINESS,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-011,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-011,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_NOT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
PUB-012,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
PUB-012,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
PUB-012,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
PUB-012,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,PUBLIC_CASE_NOT_IMPORTABLE
PUB-012,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
PUB-012,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
PUB-012,7,OUTCOME,FINANCE,记录拒付结果=MERCHANT_PREVAILED；裁决结果=COMPLAINT_UPHELD，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-001,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-001,2,CLASSIFY,RISK,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-001,3,COLLECT,RISK,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-001,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-001,5,DECIDE,RISK,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-001,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-001,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-002,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-002,2,CLASSIFY,RISK,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-002,3,COLLECT,RISK,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-002,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-002,5,DECIDE,RISK,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-002,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-002,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-003,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-003,2,CLASSIFY,RISK,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-003,3,COLLECT,RISK,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-003,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-003,5,DECIDE,RISK,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-003,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-003,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_PENDING；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-004,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-004,2,CLASSIFY,RISK,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-004,3,COLLECT,RISK,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-004,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-004,5,DECIDE,RISK,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-004,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-004,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-005,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-005,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-005,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-005,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-005,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-005,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-005,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-006,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-006,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-006,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-006,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-006,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-006,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-006,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_PENDING；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-007,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-007,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-007,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-007,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-007,5,DECIDE,CUSTOMER_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-007,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-007,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-008,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-008,2,CLASSIFY,CUSTOMER_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-008,3,COLLECT,CUSTOMER_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-008,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-008,5,DECIDE,CUSTOMER_SUPPORT,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-008,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-008,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-009,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-009,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-009,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-009,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-009,5,DECIDE,BUSINESS,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-009,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-009,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-010,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-010,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-010,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-010,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-010,5,DECIDE,BUSINESS,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-010,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-010,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_WON；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-011,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-011,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-011,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-011,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-011,5,DECIDE,BUSINESS,建议接受或先补关键证据，避免无效抗辩,保留人工决定与理由,继承案件截止时间,
SYN-011,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-011,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_LOST；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-012,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-012,2,CLASSIFY,BUSINESS,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-012,3,COLLECT,BUSINESS,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-012,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,CONFLICT_OR_WEAK_EVIDENCE
SYN-012,5,DECIDE,BUSINESS,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
SYN-012,6,PACKAGE,PSP_SUPPORT,按事实时间线打包，去除敏感信息，不把无关材料堆入证据包,证据包可读、可追溯、格式合规,继承案件截止时间,
SYN-012,7,OUTCOME,FINANCE,记录拒付结果=EXPECTED_PENDING；裁决结果=NOT_APPLICABLE，并核对临时贷记/退款/再扣款,结果层级与资金状态分开落库,继承案件截止时间,
SYN-013,1,INTAKE,PSP_SUPPORT,接收争议通知，记录金额、理由、截止时间与资金状态,案件主键与截止时间已建立,以实际通知为准；示例不声明统一时限,
SYN-013,2,CLASSIFY,TECHNICAL_SUPPORT,核对持卡人主张、交易事实与理由族，识别是否选错理由,理由族已确认或转人工,继承案件截止时间,
SYN-013,3,COLLECT,TECHNICAL_SUPPORT,按清单向商户/内部团队补证，并标记来源、时间和矛盾,证据存在性与缺失项已登记,继承案件截止时间,
SYN-013,4,REVIEW,RISK,检查证据相关性、真实性、格式、页数、金额和时限,形成接受/申诉/升级建议,继承案件截止时间,POLICY_REVIEW
SYN-013,5,DECIDE,TECHNICAL_SUPPORT,人工确认后决定是否提交申诉,保留人工决定与理由,继承案件截止时间,
