case_id,title,authenticity,evidence_level,synthetic,industry,item_type,jurisdiction,amount,currency,card_network,original_reason_code,reason_code,cardholder_claim,merchant_claim,core_conflict,dispute_stage,chargeback_outcome,adjudication_outcome,outcome_scope,result_summary,redo_action,special_tags,responsible_team,manual_review_reason,oceanpilot_can_handle,product_gap,recommendation,source_id,rule_basis,import_outcome,notes
PUB-011,车辆质量争议因补证逾期与格式失败,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,汽车销售,二手车,英国,2190,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_AS_DESCRIBED,消费者称车辆存在试驾时未知问题并尝试退车,商户成功抗辩；消费者未在10天内补齐材料，通话录音格式未被接受,时限和文件格式使可能相关的证据无法进入审理,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_NOT_UPHELD,FOS_FINAL_DECISION,真实结果：拒付失败，申诉专员认为银行处理合理,系统应在收件时检查格式、页数、可读性与截止时间，而非提交时才发现,PUBLIC_DECISION,BUSINESS,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,系统应在收件时检查格式、页数、可读性与截止时间，而非提交时才发现,系统应在收件时检查格式、页数、可读性与截止时间，而非提交时才发现,SRC-DRN-3058378,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
PUB-012,旅行商倒闭、承接方与保险责任混乱,PUBLIC_FINAL_DECISION,A-PUBLIC-FINAL,false,邮轮旅游,旅行服务,英国,350,GBP,NOT_DISCLOSED,NOT_DISCLOSED,PRODUCT_NOT_RECEIVED,消费者为邮轮付定金，原商户倒闭后被要求向新公司再次支付全价,抗辩材料涉及承接方、电子货币账户、保险与ATOL，且责任主体混乱,正确商户、服务是否承接、应由保险还是拒付承担需要逐层核验,FINAL_PUBLIC_DECISION,MERCHANT_PREVAILED,COMPLAINT_UPHELD,FOS_FINAL_DECISION,真实结果：拒付未成功；申诉专员支持消费者并要求银行赔付及补偿,建立主体关系图和付款受益人校验，复杂案件强制人工复核,PUBLIC_DECISION,CUSTOMER_SUPPORT,PUBLIC_CASE_NOT_IMPORTABLE,PARTIAL,建立主体关系图和付款受益人校验，复杂案件强制人工复核,建立主体关系图和付款受益人校验，复杂案件强制人工复核,SRC-DRN-4403335,公开最终决定事实摘要；不推断未披露字段,,真实公开案例不进入CaseSampleRecord导入文件。
SYN-001,数字道具已消费后称未授权,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,游戏,数字商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,FRAUD_CARD_NOT_PRESENT,玩家购买后24小时内消耗道具，随后否认交易,商户按FRAUD_CARD_NOT_PRESENT准备已有证据并等待人工决定,玩家购买后24小时内消耗道具，随后否认交易,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。3DS、账号登录和消耗日志形成同一时间线；人工核验账号是否被盗,3DS、账号登录和消耗日志形成同一时间线；人工核验账号是否被盗,DIGITAL_GOODS_CONSUMED,RISK,POLICY_REVIEW,PARTIAL,3DS、账号登录和消耗日志形成同一时间线；人工核验账号是否被盗,3DS、账号登录和消耗日志形成同一时间线；人工核验账号是否被盗,SRC-VISA-CE3,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-002,家庭共享设备上的未成年人购买,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,游戏,数字商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,FRAUD_CARD_NOT_PRESENT,持卡人称孩子未经允许在家庭平板充值,商户按FRAUD_CARD_NOT_PRESENT准备已有证据并等待人工决定,持卡人称孩子未经允许在家庭平板充值,SIMULATED_REVIEW,EXPECTED_LOST,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_LOST。设备匹配不等于持卡人授权；缺3DS时不应把家庭关系当作同意,设备匹配不等于持卡人授权；缺3DS时不应把家庭关系当作同意,SHARED_FAMILY_DEVICE,RISK,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,设备匹配不等于持卡人授权；缺3DS时不应把家庭关系当作同意,设备匹配不等于持卡人授权；缺3DS时不应把家庭关系当作同意,SRC-VISA-CE3,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,lost,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-003,3DS通过但账户接管迹象明显,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,高价值电子品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,FRAUD_CARD_NOT_PRESENT,3DS成功，但新设备、新地址且登录凭据疑似泄露,商户按FRAUD_CARD_NOT_PRESENT准备已有证据并等待人工决定,3DS成功，但新设备、新地址且登录凭据疑似泄露,SIMULATED_REVIEW,EXPECTED_PENDING,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_PENDING。责任转移与账户接管信号冲突，必须人工审查并保留风险决定,责任转移与账户接管信号冲突，必须人工审查并保留风险决定,CONTRADICTORY_FRAUD_SIGNALS,RISK,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,责任转移与账户接管信号冲突，必须人工审查并保留风险决定,责任转移与账户接管信号冲突，必须人工审查并保留风险决定,SRC-VISA-CE3,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,pending,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-004,熟客突然否认周期性大额交易,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,SaaS,企业软件,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,FRAUD_CARD_NOT_PRESENT,同卡连续正常支付一年后否认最新一笔，设备与历史一致,商户按FRAUD_CARD_NOT_PRESENT准备已有证据并等待人工决定,同卡连续正常支付一年后否认最新一笔，设备与历史一致,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。历史关系有帮助但不能替代认证；补齐登录与服务使用证明,历史关系有帮助但不能替代认证；补齐登录与服务使用证明,PRIOR_RELATIONSHIP,RISK,POLICY_REVIEW,PARTIAL,历史关系有帮助但不能替代认证；补齐登录与服务使用证明,历史关系有帮助但不能替代认证；补齐登录与服务使用证明,SRC-VISA-CE3,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-005,包裹签收后在门口被盗,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,实体商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_RECEIVED,承运商拍照妥投，消费者称回家时包裹已被盗,商户按PRODUCT_NOT_RECEIVED准备已有证据并等待人工决定,承运商拍照妥投，消费者称回家时包裹已被盗,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。先证明按约妥投；是否需签名取决于承诺、商品风险与适用规则,先证明按约妥投；是否需签名取决于承诺、商品风险与适用规则,PORCH_THEFT_AFTER_DELIVERY,CUSTOMER_SUPPORT,POLICY_REVIEW,PARTIAL,先证明按约妥投；是否需签名取决于承诺、商品风险与适用规则,先证明按约妥投；是否需签名取决于承诺、商品风险与适用规则,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-006,一个订单只发了三件中的两件,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,部分发货,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_RECEIVED,订单三件商品，物流只证明两件送达，消费者争议全额,商户按PRODUCT_NOT_RECEIVED准备已有证据并等待人工决定,订单三件商品，物流只证明两件送达，消费者争议全额,SIMULATED_REVIEW,EXPECTED_PENDING,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_PENDING。按未交付部分计算争议金额，避免用部分送达反驳全部缺失,按未交付部分计算争议金额，避免用部分送达反驳全部缺失,PARTIAL_FULFILLMENT,CUSTOMER_SUPPORT,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,按未交付部分计算争议金额，避免用部分送达反驳全部缺失,按未交付部分计算争议金额，避免用部分送达反驳全部缺失,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,pending,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-007,虚拟课程已观看但称未收到,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,在线教育,数字服务,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_RECEIVED,课程账号已观看80%，但消费者称没有收到服务,商户按PRODUCT_NOT_RECEIVED准备已有证据并等待人工决定,课程账号已观看80%，但消费者称没有收到服务,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。数字服务以访问、观看和互动日志替代物流证据,数字服务以访问、观看和互动日志替代物流证据,SERVICE_USAGE,CUSTOMER_SUPPORT,POLICY_REVIEW,PARTIAL,数字服务以访问、观看和互动日志替代物流证据,数字服务以访问、观看和互动日志替代物流证据,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-008,商户取消酒店却只给代金券,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,酒店旅游,住宿服务,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_RECEIVED,酒店主动取消且无法提供住宿，只提供一年期代金券,商户按PRODUCT_NOT_RECEIVED准备已有证据并等待人工决定,酒店主动取消且无法提供住宿，只提供一年期代金券,SIMULATED_REVIEW,EXPECTED_LOST,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_LOST。商户无法履约与客人主动取消不同；若无现金退款依据，接受或退款更合理,商户无法履约与客人主动取消不同；若无现金退款依据，接受或退款更合理,MERCHANT_CANCELED,CUSTOMER_SUPPORT,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,商户无法履约与客人主动取消不同；若无现金退款依据，接受或退款更合理,商户无法履约与客人主动取消不同；若无现金退款依据，接受或退款更合理,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,lost,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-009,页面写真皮但收到人造革,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,实体商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_AS_DESCRIBED,消费者提供开箱与材质检测，页面快照写真皮,商户按PRODUCT_NOT_AS_DESCRIBED准备已有证据并等待人工决定,消费者提供开箱与材质检测，页面快照写真皮,SIMULATED_REVIEW,EXPECTED_LOST,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_LOST。客观规格矛盾且消费者愿意退货，商户应接受退款或提供反证,客观规格矛盾且消费者愿意退货，商户应接受退款或提供反证,OBJECTIVE_MISDESCRIPTION,BUSINESS,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,客观规格矛盾且消费者愿意退货，商户应接受退款或提供反证,客观规格矛盾且消费者愿意退货，商户应接受退款或提供反证,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,lost,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-010,颜色轻微偏差但页面有显示器免责声明,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,实体商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_AS_DESCRIBED,消费者称色差，商户页面注明不同屏幕可能有差异,商户按PRODUCT_NOT_AS_DESCRIBED准备已有证据并等待人工决定,消费者称色差，商户页面注明不同屏幕可能有差异,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。判断是否为实质不符，并证明交易时已披露合理差异,判断是否为实质不符，并证明交易时已披露合理差异,SUBJECTIVE_DIFFERENCE,BUSINESS,POLICY_REVIEW,PARTIAL,判断是否为实质不符，并证明交易时已披露合理差异,判断是否为实质不符，并证明交易时已披露合理差异,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-011,定制礼服尺寸不符但量体数据被改写,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,服装定制,定制商品,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_AS_DESCRIBED,成衣与确认尺寸不符，后台记录显示商户后改数据,商户按PRODUCT_NOT_AS_DESCRIBED准备已有证据并等待人工决定,成衣与确认尺寸不符，后台记录显示商户后改数据,SIMULATED_REVIEW,EXPECTED_LOST,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_LOST。必须保留下单时版本；事后修改页面或规格会削弱证据可信度,必须保留下单时版本；事后修改页面或规格会削弱证据可信度,VERSIONED_DESCRIPTION,BUSINESS,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,必须保留下单时版本；事后修改页面或规格会削弱证据可信度,必须保留下单时版本；事后修改页面或规格会削弱证据可信度,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,lost,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-012,软件承诺功能未上线但客户持续使用,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,SaaS,数字服务,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,PRODUCT_NOT_AS_DESCRIBED,销售材料承诺关键功能，实际未上线；客户仍使用其他模块,商户按PRODUCT_NOT_AS_DESCRIBED准备已有证据并等待人工决定,销售材料承诺关键功能，实际未上线；客户仍使用其他模块,SIMULATED_REVIEW,EXPECTED_PENDING,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_PENDING。区分整体可用与关键承诺缺失，评估部分退款并人工复核,区分整体可用与关键承诺缺失，评估部分退款并人工复核,PARTIAL_SERVICE_VALUE,BUSINESS,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,区分整体可用与关键承诺缺失，评估部分退款并人工复核,区分整体可用与关键承诺缺失，评估部分退款并人工复核,SRC-MC,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,pending,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-013,两次授权但只捕获一次,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,电商,卡支付,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,DUPLICATE_PROCESSING,银行账单先显示两笔待入账，最终只有一笔完成,商户按DUPLICATE_PROCESSING准备已有证据并等待人工决定,银行账单先显示两笔待入账，最终只有一笔完成,SIMULATED_REVIEW,EXPECTED_WON,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_WON。授权冻结不是最终扣款；用授权/捕获状态解释并等待入账,授权冻结不是最终扣款；用授权/捕获状态解释并等待入账,DUPLICATE_AUTH_SINGLE_CAPTURE,TECHNICAL_SUPPORT,POLICY_REVIEW,PARTIAL,授权冻结不是最终扣款；用授权/捕获状态解释并等待入账,授权冻结不是最终扣款；用授权/捕获状态解释并等待入账,SRC-AIRWALLEX,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,won,纯合成案例；金额、人物、订单与结果均不对应真实交易。
SYN-014,重试支付生成两笔捕获同一订单,RULE_DERIVED_SYNTHETIC,C-RULE-DERIVED,true,票务,卡支付,GLOBAL-SYNTHETIC,,NOT_DISCLOSED,NOT_DISCLOSED,SYNTHETIC,DUPLICATE_PROCESSING,网络超时后客户端重试，服务端缺幂等键导致两笔成功捕获,商户按DUPLICATE_PROCESSING准备已有证据并等待人工决定,网络超时后客户端重试，服务端缺幂等键导致两笔成功捕获,SIMULATED_REVIEW,EXPECTED_LOST,NOT_APPLICABLE,SIMULATED_EXPECTATION,模拟预期：EXPECTED_LOST。确认真实重复后主动退一笔并停止申诉,确认真实重复后主动退一笔并停止申诉,TRUE_DUPLICATE_CAPTURE,TECHNICAL_SUPPORT,CONFLICT_OR_WEAK_EVIDENCE,PARTIAL,确认真实重复后主动退一笔并停止申诉,确认真实重复后主动退一笔并停止申诉,SRC-AIRWALLEX,依据官方流程/证据原则构造；不是Oceanpayment真实规则或真实案件,lost,纯合成案例；金额、人物、订单与结果均不对应真实交易。
